data:text/csv;charset=utf-8,
id_ibge,location,year,wage,num_jobs,wage_avg,wage_growth,wage_growth_5,num_emp_growth,num_emp_growth_5,bra_id,cnae_id,rca,distance,opp_gain,cnae_1,cnae_3,cnae_6,cbo_diversity,cbo_diversity_eff,num_est,num_jobs_est,cnae_display,bra_rca,wld_rca
4209102,"Joinville",2023,148316.13,57,2602.04,0.02,0.165,-0.05,0.044,"5sc010107","c13596",0.28,0.712,0.016,"c","c13","c13596",306,37.128,0,0,"13596",false,false
4209102,"Joinville",2023,576656.67,217,2657.4,0.006,0.04,-0.018,-0.035,"5sc010107","c14118",1.017,0.693,0.25,"c","c14","c14118",265,13.642,0,0,"14118",true,false
4209102,"Joinville",2023,5412815.21,2216,2442.61,0.037,0.053,-0.036,-0.015,"5sc010107","c14126",1.378,0.696,0.351,"c","c14","c14126",420,18.279,0,0,"14126",true,false
4209102,"Joinville",2023,377660.66,152,2484.61,0.013,0.179,-0.013,0.111,"5sc010107","c14134",1.543,0.685,-0.033,"c","c14","c14134",245,18.076,0,0,"14134",true,false
4209102,"Joinville",2023,10792.73,5,2158.55,0.432,0.137,0.25,0.046,"5sc010107","c14142",0.098,0.686,0.101,"c","c14","c14142",215,32.592,0,0,"14142",false,false
4209102,"Joinville",2023,41421.14,41,1010.27,-0.864,-0.338,-0.737,-0.267,"5sc010107","c14215",0.268,0.733,-0.244,"c","c14","c14215",149,16.97,0,0,"14215",false,false
4209102,"Joinville",2023,39949.69,21,1902.37,0.016,-0.022,0,-0.049,"5sc010107","c14223",0.25,0.719,0.204,"c","c14","c14223",172,26.535,0,0,"14223",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c15106",0,0.757,0.092,"c","c15","c15106",225,22.582,0,0,"15106",false,false
4209102,"Joinville",2023,22871.38,9,2541.26,0,-0.04,0,-0.085,"5sc010107","c15211",0.192,0.693,0.026,"c","c15","c15211",191,32.794,0,0,"15211",false,false
4209102,"Joinville",2023,69329.27,19,3648.91,0.126,0.077,0.118,-0.02,"5sc010107","c15297",0.793,0.7,0.107,"c","c15","c15297",191,30.712,0,0,"15297",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c15319",0,0.721,0.287,"c","c15","c15319",288,12.4,0,0,"15319",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c15327",0,0.731,-0.018,"c","c15","c15327",130,12.717,0,0,"15327",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c15335",0,0.727,0.157,"c","c15","c15335",232,11.804,0,0,"15335",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c15394",0,0.724,0.108,"c","c15","c15394",218,16.918,0,0,"15394",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c15408",0,0.698,0.226,"c","c15","c15408",198,22.174,0,0,"15408",false,false
4209102,"Joinville",2023,329971.12,141,2340.22,0.281,0.091,0.128,0.045,"5sc010107","c16102",0.431,0.742,0.224,"c","c16","c16102",318,25.596,0,0,"16102",false,false
4209102,"Joinville",2023,9679.55,3,3226.52,-0.542,0,-0.571,0,"5sc010107","c16218",0.017,0.754,0.273,"c","c16","c16218",264,30.176,0,0,"16218",false,false
4209102,"Joinville",2023,175263.77,84,2086.47,-0.182,-0.101,-0.168,-0.106,"5sc010107","c16226",0.59,0.724,0.159,"c","c16","c16226",282,29.353,0,0,"16226",false,false
4209102,"Joinville",2023,0,3,0,0,-1,0,-0.242,"5sc010107","c16234",0,0.728,0.021,"c","c16","c16234",213,24.734,0,0,"16234",false,false
4209102,"Joinville",2023,247459.37,96,2577.7,0.191,0.123,0.297,0.095,"5sc010107","c16293",0.873,0.716,0.155,"c","c16","c16293",301,34.933,0,0,"16293",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c17109",0,0.773,0.159,"c","c17","c17109",218,74.553,0,0,"17109",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c17214",0,0.761,0.003,"c","c17","c17214",259,47.571,0,0,"17214",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","c17222",0,0.756,-0.019,"c","c17","c17222",148,32.785,0,0,"17222",false,false
4209102,"Joinville",2023,71865.89,20,3593.3,0.156,0.506,-0.13,0.272,"5sc010107","c17311",0.165,0.741,-0.023,"c","c17","c17311",264,33.654,0,0,"17311",false,false
4209102,"Joinville",2023,68526.84,17,4030.99,0.108,0,-0.056,0,"5sc010107","c17320",0.323,0.736,-0.213,"c","c17","c17320",174,22.991,0,0,"17320",false,false
4209102,"Joinville",2023,424873.96,92,4618.2,0.456,0.134,0.179,0.009,"5sc010107","c17338",0.661,0.748,-0.05,"c","c17","c17338",285,31.103,0,0,"17338",false,false
4209102,"Joinville",2023,97981.46,28,3499.34,-0.018,0.243,-0.125,0.205,"5sc010107","c17419",0.299,0.726,-0.115,"c","c17","c17419",265,33.852,0,0,"17419",false,false
4209102,"Joinville",2023,6697.51,3,2232.5,0.498,-0.299,0.5,-0.309,"5sc010107","c17427",0.015,0.752,-0.018,"c","c17","c17427",252,38.772,0,0,"17427",false,false
